dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
Membrane_dataset,RFR,0.5,13,1.0,32.0,32.0,0.0,1.0,32.0,32.0,0.0,0.0,0.0
Membrane_dataset,RFR,0.5,15,1.0,17.0,17.0,0.0,1.0,29.0,29.0,0.0,-12.0,-12.0
Membrane_dataset,RFR,0.5,16,1.0,22.0,22.0,0.0,1.0,30.0,30.0,0.0,-8.0,-8.0
Membrane_dataset,RFR,0.5,17,1.0,13.0,13.0,0.0,1.0,6.0,6.0,0.0,7.0,7.0
Membrane_dataset,RFR,1.0,5,1.0,32.0,32.0,0.0,1.0,23.0,23.0,0.0,9.0,9.0
Membrane_dataset,RFR,1.0,6,2.0,35.5,35.5,1.5,2.0,25.0,25.0,3.0,10.5,10.5
Membrane_dataset,RFR,1.0,7,1.0,39.0,39.0,0.0,1.0,40.0,40.0,0.0,-1.0,-1.0
Membrane_dataset,RFR,1.0,9,1.0,31.0,31.0,0.0,1.0,12.0,12.0,0.0,19.0,19.0
Membrane_dataset,RFR,1.0,10,2.0,31.0,31.0,0.0,2.0,34.5,34.5,2.5,-3.5,-3.5
Membrane_dataset,RFR,1.0,11,3.0,35.0,35.0,4.08248290463863,3.0,30.666666666666668,34.0,4.714045207910316,4.333333333333332,1.0
Membrane_dataset,RFR,1.0,13,1.0,28.0,28.0,0.0,1.0,38.0,38.0,0.0,-10.0,-10.0
Membrane_dataset,RFR,1.0,15,1.0,27.0,27.0,0.0,1.0,18.0,18.0,0.0,9.0,9.0
Membrane_dataset,RFR,1.0,16,1.0,28.0,28.0,0.0,1.0,33.0,33.0,0.0,-5.0,-5.0
Membrane_dataset,RFR,1.0,17,1.0,33.0,33.0,0.0,1.0,29.0,29.0,0.0,4.0,4.0
Membrane_dataset,XGB,0.1,5,1.0,19.0,19.0,0.0,1.0,6.0,6.0,0.0,13.0,13.0
Membrane_dataset,XGB,0.1,6,2.0,19.0,19.0,6.0,2.0,9.0,9.0,7.0,10.0,10.0
Membrane_dataset,XGB,0.1,7,1.0,14.0,14.0,0.0,1.0,22.0,22.0,0.0,-8.0,-8.0
Membrane_dataset,XGB,0.1,9,1.0,13.0,13.0,0.0,1.0,10.0,10.0,0.0,3.0,3.0
Membrane_dataset,XGB,0.1,10,2.0,8.5,8.5,0.5,2.0,7.0,7.0,4.0,1.5,1.5
